datetime,author,message,superChat
2025-05-30 14:24:39,EMRE CAN GÜMÜŞSU,C.I.A Ajanları geldi :face_with_tears_of_joy:,
2025-05-30 14:24:40,Ccy,Ps5 pro için tv tavsiyesi yazar mısınız,
2025-05-30 14:24:41,SS,bence admin yukarıya bi dipnot geçsin ya her yeni gelen soruyor ne oldu diye,
2025-05-30 14:24:42,football world⚽️,ses 1 2 ses ses,
2025-05-30 14:24:43,fatih albayrak,Ses yok,
2025-05-30 14:24:45,emreee3330,ses,
2025-05-30 14:24:46,Utku Atalay Yıldız,daha dur çayda içerler,
2025-05-30 14:24:53, Cann ,maliyeciler bom bom,
2025-05-30 14:24:54,Kürşat Yeğin,18 yaş altını dükkana almıyor kovuyor diye şikayet etmişler beyler teyitli bilgi dükkanın önündeyim dinliyorum :d,
2025-05-30 14:24:54,Mustafa Safa,Beyni olmayan biri şaka yaptığını sanıp şikayet etmiştir kesin.,
2025-05-30 14:24:57,Rasim Ünver,ses yok kafan var sadece,
2025-05-30 14:24:57,Furkan Karaca,üçikibir,
2025-05-30 14:24:59,Erdem Kocyigit,taner kardeşim ses yok,
2025-05-30 14:25:00,Polat Alemdar,kuzey ps5 slim cd li mi,
2025-05-30 14:25:02,Progs07,Ses yokkk,
2025-05-30 14:25:03,Dogus,ne etkinligi var,
2025-05-30 14:25:04,Ali Erten,satılık PS3 varmı temiz oyunlu,
2025-05-30 14:25:04,Shirone,ses ve görüntü canlı yayına gidiyor oki doki,
2025-05-30 14:25:04,Can,dualsense edge kullanan varmı dualsense arada çok fark varmı 10 k civarı çünkü,
2025-05-30 14:25:08,Z4Akbulut BmwM6,Kim geldi ,
2025-05-30 14:25:08,berkay gürbüz,sessiz sinema,
2025-05-30 14:25:10,Aysima Yalçıner,hadi maliye gideceksen git sende,
2025-05-30 14:25:13,süleyman kostekli,ses gg,
2025-05-30 14:25:14,Berkcan Memiş,Sesyok,
2025-05-30 14:25:17,Kaan Usta,Maliye geldi ondan ses kapalı bekleyin ,
2025-05-30 14:25:21,Mert Sezgin,ps4 pro var mı satan ,
2025-05-30 14:25:21,FeSLi🇹🇷KoMuTaN,sessiz Film,
2025-05-30 14:25:23,Network Pusulası,Teşekkür ederim benjamin. Bilmediğim için sormuştum ,
2025-05-30 14:25:24,Faruk Kocak,@4k 120hz samsung tcl lg kafana göre,
2025-05-30 14:25:25,Shirone,10k ceza,
2025-05-30 14:25:28,Enes Taşcı,MALİYEDEN İÇERDE ARKADAŞLAR SES KAPALI O YÜZDEN,
2025-05-30 14:25:30,Murat Cem Sahin,Dükkanda ne çok şey var ya,
2025-05-30 14:25:30,Atakan K,en az 20 k ceza bakışı o,
2025-05-30 14:25:31,Utku Atalay Yıldız,ağzınıda okuyamıyomki sakaldan,
2025-05-30 14:25:31,sadi türeci,ses yokmk,
2025-05-30 14:25:34,Mert Yahya,sa,
2025-05-30 14:25:36,Erdem Kocyigit,Taner Ses yok kardeşim benim,
2025-05-30 14:25:37,llpeb3c,maliyeye oyun mu vericek niye raflara bakıyor ,
2025-05-30 14:25:38,Felina,modu düştu taner abinin,
2025-05-30 14:25:39,Daniel Yıldırım,Sesi bilerek kapattı arkadaşlar. ( modlar sabitleyin de millet sormasın) ,
2025-05-30 14:25:40,Gardropfuad,Esnaf üzgün,
2025-05-30 14:25:43,EMRE CAN GÜMÜŞSU,Chat Elinde sıfır oyun olan varmı varsa ilan no,
2025-05-30 14:25:48,Talha,İnşAllah ceza yemez adam ya,
2025-05-30 14:25:52,Ccy,Sağol faruk,
2025-05-30 14:25:52,Adem Işıklı,sohbet gitti mi,
2025-05-30 14:25:52,Z4Akbulut BmwM6,Maliye kesin ceza yazmaya geldi ,
2025-05-30 14:25:57,CODEX,"İlan no: 1248243489 , LogitechG29+vites",
2025-05-30 14:25:57,İLKAY DEMİREL,adamın suratı düştü kesin ceza yazdılar,
2025-05-30 14:25:58,Tufan Kaya,ceza falanmi kesicekler yoksa,
2025-05-30 14:26:02,Berkay Dağdemir,ses,
2025-05-30 14:26:03,Eren Sarı,abi açsana sesi baydı ama muhabbet ya ,
2025-05-30 14:26:06,akaMiralay,@Erdem Kocyigit Erdem bilader yarım saattir maliyeciler var diyoruz sen anlamıyor musun la?,
2025-05-30 14:26:07,hal9000,modu düştü çok uzadı bu iş,
2025-05-30 14:26:12,Emir Kemertaş,SES YOKK,
2025-05-30 14:26:15,Berkcan,Rutin kontrol beyler ne cezasından bahsediyorsunuz siz boş yapmayın,
2025-05-30 14:26:17,İsmail Demir,Ses var,
2025-05-30 14:26:17,delisoyka,ses,
2025-05-30 14:26:20,Kokteyl Tıme,yazılan tüm doğru mesajlar neden siliniyor ?,
2025-05-30 14:26:24,Dogus,sadece FIFA oynamak için Xbox series s alınırmı arkadaşlar,
2025-05-30 14:26:26,Emirrr,hükümet istifa,
2025-05-30 14:26:30,Alperen Ersoy,kesin ceza yedi.d,
2025-05-30 14:26:30,Utku Atalay Yıldız,ciddili moreli düştü,
2025-05-30 14:26:30,Sarmatr4,sesss,
2025-05-30 14:26:37,berkay gürbüz,alınır,
2025-05-30 14:26:38,İlker YILDIZ, PS3' GTA Vice City GTA San Andreas NFS Carbon oyanayabilirmim,
2025-05-30 14:26:39,Polat Alemdar,kuzey ps5 slim cd li mi cihazın,
2025-05-30 14:26:40,atakan,ses yok,
2025-05-30 14:26:41,Viktor Reznov,ses,
2025-05-30 14:26:43,Ünal Kılınç,tezgahın üstü devamlı dolu diye şikayet etmişlerdir kesin,
2025-05-30 14:26:45,Ccy,Gidiyorlar,
2025-05-30 14:26:45,Memati Çakır,Haydaa makbuz verdiler,
2025-05-30 14:26:46,Burak Aydın,gıttı,
2025-05-30 14:26:46,Enes Furkan Alagöz,sa,
2025-05-30 14:26:47,Muhammed Gokkurt,aha geliyor,
2025-05-30 14:26:47,aemin,kolonya ikramını unutma abi,
2025-05-30 14:26:47,Tufan Kaya,dam ne yapsa yaranamiyor ya daha ne yapsin,
2025-05-30 14:26:49,Emre Can Erdoğan,haydı bakalım merakla beklıyoruz,
2025-05-30 14:26:51,Muro Tan,adamın,
2025-05-30 14:26:53,Burak TUNÇ,FBI GELDİ,
2025-05-30 14:26:53,Can,10 saniye ye ses geliyor oki doki,
2025-05-30 14:26:54,Orkun2 Mcoc,moderatör burda siyaset yapılıyor,
2025-05-30 14:27:01,Morgion,arkadaşlar ps5 slim mi daha iyi ps5 mi,
2025-05-30 14:27:02,Batuhan Öztürk,ses gitti,
2025-05-30 14:27:04,Ceren ,Morali bozuldu,
2025-05-30 14:27:07,yılmaz ş,sa,
2025-05-30 14:27:07,j,adam kurallara uyuyor neden ceza yazsınlar saçma sapan yazmayin,
2025-05-30 14:27:09,Progs07,Ses,
2025-05-30 14:27:09,EMRE CAN GÜMÜŞSU,Elinde sıfır oyun olan varmı ilan no ,
2025-05-30 14:27:11,İlker YILDIZ, PS3' GTA Vice City GTA San Andreas NFS Carbon oynanaıyormu cd li,
2025-05-30 14:27:13,berkay gürbüz,haydeee fişi çekiyolar abimizin,
2025-05-30 14:27:16,Dogus,Benjamin abi series s alayımmı sence,
2025-05-30 14:27:17,SS,Slim de iyidir,
2025-05-30 14:27:21,Zippo,@Morgion tabiki slim,
2025-05-30 14:27:21,Benjamin Linus,"Her şey yolunda, ceza filan yok. Böyle yorumlar yapmayın artık!",
2025-05-30 14:27:22,sz forever,codex 12 son fiyat mı,
2025-05-30 14:27:23,Smt-3428,konsollara bak 100 var orda,
2025-05-30 14:27:24,efe ışık,şimdi açıklama gelir ceza felan olduğunu sanmıyorum herşey şeffaf burda kayıt altında şirketlerden çok vergi ödüyor adam,
2025-05-30 14:27:26,Eren Sarı,sizce ps5 mi alsam ps5 mi ?= ,
2025-05-30 14:27:28,Ccy,Morali harbi bozuldu. Anlatmıcak şimdi,
