datetime,author,message,superChat
2025-06-05 16:07:32,Sedat GÜVEN ,57 bin tl değil çok fazla ps5 pro fazla,
2025-06-05 16:07:34,can,abı sana sapkada yakısır be bır dene bence sıcaklarda geldı,
2025-06-05 16:07:34,Mete,Red bull gamerszon mu,
2025-06-05 16:07:37,mahir aktas,selamlar nasılsınz kolay gelsin severek izliyorum ,
2025-06-05 16:07:38,emir Can,Gta 6 çıkınca yayın gelir mi gta,
2025-06-05 16:07:38,Buğramollax,uncharted 4 satan varmı,
2025-06-05 16:07:38,modrıx.bs14,Abi instegram hesabı hesabı actıp senın kafalarla yaptıgın alısverısı attım sabah 5000 izlendi 140 like aldı.,
2025-06-05 16:07:39,Serdar kaan,Abi çizik oyun ticareti yaparmıyız koleksiyonluk alıcam,
2025-06-05 16:07:40,stace,"Xbox one,kinect ve oyun cdlleri alırmısın abi",
2025-06-05 16:07:43,YouShorts,Fifa oynamayı biliyor musun abi :face_with_tears_of_joy:,
2025-06-05 16:07:43,can,abı sana sapkada yakısır be bır dene bence sıcaklarda geldı,
2025-06-05 16:07:44,Derda ,5 tane oyun lazim kasam 1000 tl,
2025-06-05 16:07:46,Sedat GÜVEN ,57 bi,
2025-06-05 16:07:48,BarouX8,abi içerde kim var,
2025-06-05 16:07:54,Sedat GÜVEN ,57 bin ne,
2025-06-05 16:07:55,Ozcan Semih,abi güvenlik kamerası yapacaktın ,
2025-06-05 16:07:56,Yücel kandaş,figür satışı yapmaya başlıuorum siteyi burda paylaşmamda bir sıkıntı olur mu sanada bir adet hediye getirmek istiyorum abi 3d makinesiyle basıyorum,
2025-06-05 16:07:58,Tech End,abi ps3 super slimim var 500 gb 2 kol 30 oyunlu kaça satılmalı ,
2025-06-05 16:07:58,baxdet,pc sektörüne mi gireceksin ,
2025-06-05 16:08:02,Abdullah Altıner,@Alper öpmüşler seni,
2025-06-05 16:08:05,Marcos,abi internet hızın kaç @Konsol Oyun İİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİİ,
2025-06-05 16:08:05,Alper,bilkom garantili,
2025-06-05 16:08:06,Semih Efe,Fc 25 vs gelcek var mı,
2025-06-05 16:08:12,Atil,abi yan sanayi kolun var mıdır,
2025-06-05 16:08:15,Hepatits of Minds,dükkanın farklı bölgelerine mikrofon şart,
2025-06-05 16:08:16,Bass Boss (N/O/Y),Ps 5 slim 1 Tb last of us fifa 23 ve rdr 2 acil satıyorum,
2025-06-05 16:08:18,Derda ,5 tane oyun lazim kasam 1000 tl,
2025-06-05 16:08:27,Ahmet Emre,abi TLOU indirimde mi,
2025-06-05 16:08:28,Sedat GÜVEN ,ps5 57 resmen kazık olmuş,
2025-06-05 16:08:34,♕Baran,isterse ömür boyu bakım+ garanti versinler gene çok alper,
2025-06-05 16:08:34,Buğramollax,uncharted 4 satan varmı,
2025-06-05 16:08:36,İsmail Karadağ,:double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark:ABİ HEDİYEYİ AÇARMISIN CHAT ÇOK MERAKLI (YOĞUN İSTEK):double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::zipper_mouth_face::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark:,
2025-06-05 16:08:40,Kadir,@Alper max 50k olur bilkom garantili zam geldi mi bilmiyorum,
